Epoch,Precision,Recall,F1-score,mAP@0.5,mAP@0.5:0.95
1,0.00029,0.05556,0.000576988258372738,3e-05,0.0
2,0.00072,0.13889,0.0014325734952672809,0.00031,7e-05
3,0.00072,0.13889,0.0014325734952672809,0.00043,0.00015
4,0.0013,0.25,0.0025865498373836113,0.01882,0.00581
5,0.00145,0.27778,0.002884940626546552,0.09337,0.031
6,0.00333,0.63889,0.006625466870769099,0.13023,0.05569
7,0.00348,0.66667,0.00692385754049306,0.16371,0.07933
8,0.00362,0.69444,0.007202454700133875,0.17258,0.09126
9,0.0042,0.80556,0.008356431432073312,0.1409,0.0822
10,0.00391,0.75,0.00777944306642115,0.12715,0.07358
11,0.00406,0.77778,0.00807783372457493,0.12871,0.07209
12,0.0042,0.80556,0.008356431432073312,0.12611,0.06431
13,0.06039,0.63889,0.11034940667044094,0.22921,0.11862
14,0.24948,0.33333,0.2853731644039539,0.28262,0.14669
15,0.44543,0.16667,0.24257414437879196,0.3105,0.17854
16,0.4322,0.25388,0.3198662966437398,0.32026,0.19089
17,0.41003,0.32835,0.36467225189370983,0.36329,0.21292
18,0.35325,0.41667,0.38234797274589605,0.3844,0.23385
19,0.51346,0.33333,0.4042362800194112,0.41913,0.25269
20,0.6311,0.36111,0.45937154171625416,0.51631,0.2659
21,0.48056,0.36111,0.41235880936282854,0.5073,0.21064
22,0.6344,0.38889,0.4821933441918386,0.52057,0.22017
23,0.80778,0.35062,0.48899140392790574,0.55032,0.26038
24,0.66143,0.33333,0.4432716628807786,0.5042,0.19459
25,0.54297,0.44444,0.4887890225054534,0.48726,0.1945
26,0.50299,0.44992,0.47497719286210455,0.44694,0.17642
27,0.43815,0.38889,0.4120529876178542,0.43566,0.16067
28,0.409,0.44444,0.4259841532388433,0.36848,0.14499
29,0.45986,0.47222,0.46595804409537755,0.43299,0.1701
30,0.48144,0.47222,0.4767854254473771,0.44466,0.17093
31,0.62445,0.41573,0.4991493703094717,0.50882,0.18888
32,0.73862,0.47222,0.5761143231466227,0.58452,0.25372
33,0.94327,0.46223,0.6204307207368858,0.67153,0.31745
34,0.73103,0.60416,0.6615673896481596,0.65889,0.30158
35,0.70399,0.55556,0.6210292267791734,0.67009,0.29614
36,0.70673,0.66667,0.686115750210312,0.68707,0.29035
37,0.73101,0.60408,0.6615112351863077,0.64926,0.29935
38,0.76546,0.61111,0.6796316310857303,0.61267,0.28293
39,0.69256,0.50061,0.5811451154391654,0.58691,0.2732
40,0.55791,0.44444,0.49475236778817416,0.49733,0.22168
41,0.63017,0.47336,0.5406237592034311,0.51973,0.21392
42,0.66642,0.41667,0.5127500370906386,0.52761,0.24089
43,0.72536,0.41667,0.5292956376864387,0.514,0.23488
44,0.62142,0.5,0.5541367145749432,0.53751,0.24393
45,0.76685,0.5484,0.639483804299686,0.59797,0.27549
46,0.66241,0.55556,0.6042981298037051,0.61418,0.2543
47,0.70693,0.58333,0.6392098859205906,0.62025,0.26203
48,0.65814,0.55556,0.602515045542432,0.6249,0.31286
49,0.79536,0.5,0.614006912255999,0.68217,0.35988
50,0.66064,0.61111,0.6349104890512249,0.6915,0.37242
51,0.81471,0.63889,0.7161668523929083,0.69373,0.35281
52,0.73186,0.58333,0.6492079327761926,0.65923,0.32183
53,0.75893,0.61111,0.6770455007368728,0.66823,0.31016
54,0.74272,0.64158,0.6884552396990882,0.68295,0.30694
55,0.66859,0.56051,0.6097980275828003,0.61103,0.29743
56,0.72572,0.5,0.5920764889854414,0.56956,0.28871
57,0.73659,0.544,0.6258130344152848,0.62317,0.32285
58,0.70708,0.63889,0.6712576622713905,0.6521,0.33161
59,0.75993,0.61563,0.680211263047695,0.64469,0.33463
60,0.71778,0.63889,0.6760412787483966,0.68057,0.33837
61,0.833,0.55428,0.6656410193642162,0.69158,0.33163
62,0.75485,0.66667,0.7080249957227123,0.71367,0.32854
63,0.80417,0.58333,0.6761751102257649,0.69815,0.31289
64,0.90916,0.55602,0.6900328147392619,0.702,0.31503
65,0.72417,0.58333,0.6461645627061984,0.70299,0.32435
66,0.73742,0.55556,0.6337005244187806,0.6906,0.33103
67,0.83925,0.52778,0.6480316624504827,0.63953,0.31863
68,0.82512,0.47222,0.6006723964367676,0.59669,0.29216
69,0.83971,0.52778,0.6481687479384218,0.6413,0.31366
70,1.0,0.55398,0.7129821444743037,0.72583,0.3439
71,0.84995,0.6296,0.7233665863041696,0.74343,0.34467
72,0.75297,0.67754,0.7132663039526722,0.76214,0.33665
73,0.7362,0.77528,0.7552347794530211,0.78101,0.3651
74,0.84639,0.76551,0.8039208448171672,0.80705,0.38228
75,0.81741,0.74623,0.780199867487402,0.77548,0.36257
76,0.7175,0.77609,0.7456458215062646,0.75503,0.34752
77,0.7454,0.73211,0.7386952241359096,0.74462,0.33268
78,0.79311,0.63889,0.70769559268369,0.75166,0.35605
79,0.7273,0.63889,0.6802343650573173,0.75784,0.37677
80,0.86723,0.61111,0.7169838084812438,0.78383,0.39474
81,0.83046,0.61111,0.7040967931900859,0.77911,0.39811
82,0.77445,0.66769,0.7171183337462498,0.78143,0.38819
83,0.69928,0.69444,0.6968515910164768,0.77622,0.38408
84,0.80636,0.72222,0.7619742707481828,0.78085,0.39631
85,0.74973,0.69444,0.7210266071097821,0.76431,0.37719
86,0.70577,0.73312,0.7191850646040693,0.77722,0.38055
87,0.75785,0.69444,0.7247606888103568,0.76974,0.3934
88,0.76011,0.69444,0.7257925609584231,0.76255,0.39995
89,0.68864,0.73741,0.7121910435665577,0.75812,0.39035
90,0.7717,0.75,0.7606952700223746,0.77956,0.39265
91,0.81042,0.71267,0.7584082590102472,0.78457,0.40359
92,0.91757,0.69444,0.7905624739886076,0.78583,0.40566
93,0.88768,0.72222,0.7964472894189248,0.80232,0.39222
94,0.79295,0.72222,0.7559341132946528,0.81038,0.39621
95,0.86892,0.69444,0.7719435074970352,0.81452,0.39967
96,0.82992,0.72222,0.7723334474188318,0.80821,0.39786
97,0.82997,0.72222,0.7723550976854954,0.79062,0.3877
98,0.84529,0.72222,0.7789236941459787,0.78646,0.37401
99,0.86478,0.75,0.8033106627323185,0.77179,0.34691
100,0.8834,0.75,0.811252596967965,0.78449,0.35142
101,0.8698,0.74246,0.8011011921085857,0.78426,0.36848
102,0.85963,0.68068,0.7597599763699517,0.74941,0.36859
103,0.81048,0.71295,0.7585930593555789,0.73646,0.35922
104,0.77803,0.68175,0.7267149143931627,0.72406,0.35566
105,0.76576,0.66667,0.7127876624143054,0.74701,0.3503
106,0.93898,0.58333,0.7196105915377907,0.75055,0.32941
107,0.95369,0.61111,0.7448996576885248,0.74636,0.31306
108,0.94773,0.63889,0.7632517122987753,0.75292,0.34143
109,0.96578,0.61111,0.7485592679986601,0.76151,0.3564
110,0.86668,0.61111,0.7167957710040278,0.75691,0.35529
111,0.69872,0.72222,0.7102756694140805,0.75164,0.34819
112,0.75896,0.69984,0.728202032847532,0.75275,0.34844
113,0.77672,0.66667,0.717499662340049,0.74732,0.33648
114,0.81105,0.61111,0.6970253164410102,0.72893,0.33769
115,0.83426,0.63889,0.7236199542231276,0.74695,0.36177
116,0.8763,0.66667,0.7572446868231741,0.74392,0.36774
117,0.82957,0.67624,0.745098535770791,0.74045,0.36366
118,0.82468,0.72222,0.7700567402543361,0.7404,0.36784
119,0.8209,0.63668,0.7171484356457385,0.71381,0.36639
120,0.79513,0.61111,0.6910796035450593,0.718,0.36565
121,0.70201,0.71989,0.7108375769685803,0.71712,0.35728
122,0.68935,0.66667,0.6778203287722872,0.71824,0.34775
123,0.70402,0.69444,0.6991971816198019,0.73194,0.35817
124,0.71043,0.69444,0.7023439972214939,0.73532,0.35452
125,0.69024,0.72222,0.7058679598298858,0.74678,0.37213
126,0.79268,0.75,0.7707495995880572,0.76976,0.38104
127,0.78823,0.72377,0.7546259567815745,0.77336,0.37922
128,0.7917,0.69444,0.739887418817289,0.77485,0.37298
129,0.74605,0.72222,0.7339416147306584,0.77418,0.3803
130,0.74748,0.74022,0.7438322805415589,0.76472,0.38456
131,0.74782,0.75,0.7489084085610528,0.76726,0.3805
132,0.74935,0.75,0.7496748541056135,0.77037,0.38577
133,0.7792,0.72222,0.7496287784255653,0.76337,0.38355
134,0.75772,0.72222,0.739544217606496,0.76319,0.3883
135,0.77539,0.72222,0.7478611414997153,0.77095,0.39556
136,0.75814,0.72222,0.7397442069513888,0.76809,0.38492
137,0.84827,0.69444,0.7636854820174531,0.77485,0.38973
138,0.82246,0.69444,0.7530478194142803,0.77285,0.38827
139,0.82929,0.69444,0.7558978871854075,0.77437,0.37527
140,0.79119,0.72222,0.7551334245502975,0.77802,0.37409
141,0.86483,0.72222,0.7871176316617773,0.77508,0.37096
