Epoch,Precision,Recall,F1-score,mAP@0.5,mAP@0.5:0.95
1,0.00116,0.22222,0.0023079522648423193,0.00034,8e-05
2,0.00101,0.19444,0.002009561421869459,0.0003,6e-05
3,0.00377,0.72222,0.007500845362872141,0.00719,0.00188
4,0.0029,0.55556,0.0057698813564108185,0.00662,0.00207
5,0.00598,0.61111,0.011844099696250146,0.03956,0.01922
6,0.14946,0.13889,0.14398126360390975,0.1418,0.0612
7,0.33318,0.25,0.28565793947566887,0.21237,0.10153
8,0.5816,0.19318,0.2900268116106919,0.19409,0.05942
9,0.56607,0.18178,0.2751894182631621,0.20941,0.06463
10,0.82124,0.08333,0.15130709274785706,0.11381,0.02314
11,0.88424,0.13889,0.24007133482478932,0.17848,0.04981
12,0.54011,0.22222,0.3148852665527361,0.24899,0.05478
13,0.54403,0.30556,0.39132712212564735,0.30281,0.10105
14,0.41669,0.37723,0.3959793599357699,0.30922,0.11717
15,0.52179,0.69444,0.5958607247324871,0.55073,0.19692
16,0.47093,0.5,0.48502981177809096,0.42938,0.11427
17,0.78398,0.60506,0.68299679690292,0.67414,0.28375
18,0.82189,0.36111,0.5017627986326053,0.45591,0.1398
19,0.54485,0.52778,0.5361791676889592,0.51605,0.19666
20,0.5985,0.57979,0.5889964474874908,0.52898,0.21296
21,0.48834,0.30556,0.3759092291735831,0.30828,0.06667
22,0.5691,0.40382,0.47242108218125767,0.37616,0.10689
23,0.33068,0.23357,0.2737684580634744,0.23479,0.08398
24,0.5985,0.47222,0.5279133057390045,0.41663,0.12155
25,0.63092,0.61743,0.6241021067480906,0.49201,0.19314
26,0.28868,0.61111,0.3921253466683854,0.29558,0.11153
27,0.22357,0.55556,0.31883394967676826,0.24812,0.09693
28,0.45714,0.51479,0.48425524097151806,0.41869,0.16252
29,0.5263,0.63889,0.5771553207875512,0.50836,0.2003
30,0.59584,0.63889,0.6166145060327805,0.57257,0.2278
31,0.55892,0.52778,0.5429038278926676,0.45283,0.17588
32,0.38112,0.58333,0.4610269631289651,0.32035,0.13969
33,0.45004,0.55556,0.49726376275592915,0.35527,0.11129
34,0.48902,0.69125,0.5728097335964675,0.4867,0.14381
35,0.48395,0.46898,0.4763474098165929,0.43551,0.15706
36,0.39715,0.44444,0.4194663527434219,0.28065,0.09481
37,0.44328,0.72222,0.5493705342825351,0.3967,0.12982
38,0.59826,0.58333,0.5907006708697546,0.46357,0.18971
39,0.69161,0.68541,0.6884960373233792,0.63058,0.25603
40,0.74983,0.69444,0.7210728486981461,0.63111,0.21925
41,0.67436,0.72222,0.6974699275553858,0.63417,0.22828
42,0.72966,0.72222,0.7259209322676741,0.70662,0.26793
43,0.75529,0.66667,0.7082184882259805,0.7105,0.24926
44,0.70592,0.61111,0.6551024166867695,0.72598,0.26752
45,0.87786,0.58333,0.7009109976053013,0.74044,0.28508
46,0.70823,0.58333,0.6397407827763265,0.64844,0.27002
47,0.70328,0.77778,0.738656252557923,0.71396,0.28313
48,0.84042,0.58523,0.6899856109845641,0.73278,0.29762
49,0.63996,0.64195,0.6409534503907963,0.7074,0.30647
50,0.67805,0.63889,0.6578877719722405,0.71076,0.33205
51,0.95316,0.56549,0.7098441969522655,0.7752,0.34693
52,0.70883,0.63889,0.6720452250315703,0.69975,0.331
53,0.6018,0.66667,0.632576257754805,0.67962,0.3026
54,0.82691,0.58333,0.6840841372810009,0.69553,0.31074
55,0.87366,0.58333,0.6995684037668866,0.72955,0.3064
56,0.83187,0.69444,0.7569678492772252,0.75946,0.30061
57,0.78408,0.63889,0.7040779042138774,0.70816,0.29036
58,0.77422,0.63889,0.7000748877293708,0.72033,0.32371
59,0.89234,0.69086,0.7787796974559139,0.77909,0.31784
60,0.82165,0.75,0.784191767987836,0.78297,0.31706
61,0.7628,0.75,0.7563458437576294,0.76814,0.29898
62,0.83752,0.75,0.7913475055977405,0.79491,0.30181
63,0.81445,0.66667,0.7331875578400969,0.74785,0.29353
64,0.78806,0.72304,0.7541511463559584,0.73766,0.30564
65,0.81892,0.69444,0.751560502513873,0.72055,0.30958
66,0.78583,0.72222,0.7526834505972386,0.72616,0.32988
67,0.72546,0.66077,0.6916055787884725,0.67093,0.2999
68,0.75769,0.55556,0.6410694889695833,0.64563,0.28456
69,0.81686,0.52778,0.6412457871159137,0.61824,0.27841
70,0.83053,0.54479,0.6579769586861461,0.61989,0.26575
71,0.77138,0.55556,0.6459189858929644,0.62852,0.28031
72,0.72236,0.61111,0.6620942597726663,0.66917,0.28647
73,0.76305,0.66667,0.7116114203367693,0.67757,0.30556
74,0.79287,0.63889,0.7076000317958314,0.71143,0.32723
75,0.83798,0.63889,0.7250157949920047,0.73277,0.35167
76,0.86818,0.63889,0.736092572368287,0.73918,0.36436
77,0.79751,0.65664,0.7202516422635105,0.73474,0.35701
78,0.78822,0.62051,0.694382016040107,0.71369,0.35848
79,0.76647,0.63822,0.6964903002335725,0.71366,0.33073
80,0.72589,0.66215,0.6925564969845502,0.74103,0.32479
81,0.7461,0.65322,0.6965775355417093,0.73576,0.31494
82,0.75899,0.66667,0.709840859322413,0.71578,0.31534
83,0.76603,0.6367,0.6954029606880657,0.69295,0.29962
84,0.8055,0.61111,0.6949677067437919,0.69776,0.3097
85,0.80609,0.6929,0.745221458814125,0.71995,0.32858
86,0.76242,0.7133,0.7370425044246707,0.71261,0.3281
87,0.75557,0.72222,0.7385186822314491,0.73701,0.34418
88,0.74477,0.72222,0.7333216800842428,0.74833,0.34622
89,0.75481,0.6843,0.7178276565528163,0.74645,0.35425
90,0.78277,0.70081,0.7395260653316569,0.74961,0.36629
91,0.7882,0.72222,0.7537688857816444,0.75146,0.37482
92,0.78985,0.73101,0.7592917753159938,0.75597,0.38238
93,0.75916,0.75,0.7545521962247064,0.74087,0.35721
94,0.76981,0.75,0.759775888040111,0.72992,0.34955
95,0.78121,0.75,0.7652869249463697,0.73364,0.35423
96,0.74006,0.75,0.7449968407648225,0.73479,0.36303
97,0.70456,0.75,0.7265702293025368,0.72696,0.35482
98,0.70918,0.74522,0.72675345979955,0.71485,0.34727
99,0.68148,0.72222,0.7012587904733291,0.71419,0.33989
100,0.69019,0.72222,0.7058418140211283,0.71061,0.34039
